temp_Standard Unit,Super Unit,temp_Secondary Category,Display Category,temp_Display Category ErpId,temp_Primary Category ErpId,temp_Secondary Category ErpId,temp_Product Division ErpId,Product,Variant,PTR,PTR Delta,PTD,Display MRP,MRP,Unit,Alternate Category,Description,Standard Unit Conversion Factor,Super Unit Conversion Factor,Product Erp Id,Schemes,Display Order,Is Promoted,Is Markdown Margin logic,Packaging Type,Minimum Batch Quantity,Pack Size,Color Name,RGB Values,ImageId,Product Weight in gm,Channel,Expiry (Days),GST Category,CESS Category,Short Name,HSN Code,Shelf Life In Days,Net Weight,Gross Weight,PTRMT,PTD Super,PTD Sub,Product_AttributeText1,Product_AttributeText2,Product_AttributeBoolean1,Product_AttributeBoolean2,Product_AttributeNumber1,Product_AttributeNumber2,Product_AttributeDate1,Product_AttributeDate2,GUID,HASHKEY,IsSaleable,AdditionalUnit,AdditionalUnitConversionFactor,Barcode,Product_Property_1,Product_Property_2,Product_Property_3
CAR,KG,1 KG,Aloo Bhujia Plain 1 Kg,ADA1A060921B10127,Namkeen_In-Home,1 KG_Namkeen_In-Home,A,Aloo Bhujia 1 KG*12 KG NGP,,179.3346,,169.18,235,235,PAC,Aloo Bhujia,Aloo Bhujia 1 Kg (12 Kg C/S) Dom Pouch,12,1,FD092110001200001D,,4,FALSE,FALSE,,1,B1,,,,0,,,12,,FDNMA1310001200,21069099,,,1000,,163.46,169.18,Aloo Bhujia,Aloo Bhujia,,,,,,,e6129b2d-9f58-4747-9c2a-3dcfaaf0efd6,8CC6FF9F57E78F6EEA89EDC11BA7F4C4,TRUE,,,,NAGPUR,Domestic,127
CAR,KG,1 KG,Aloo Bhujia Plain 1 Kg,ADA1A060921B10127,Namkeen_In-Home,1 KG_Namkeen_In-Home,A,Aloo Bhujia 1 KG*13 KG (Pouch) NGP,,179.3346,,169.18,235,235,PAC,Aloo Bhujia,Aloo Bhujia 1 Kg (13 Kg C/S) Dom Pouch,13,1,FD092110001300000D,,5,FALSE,FALSE,,1,B1,,,,0,,,12,,FDNMA1310001300,21069099,,,1000,0,163.46,169.18,Aloo Bhujia,Aloo Bhujia,,,,,,,2f64fe87-e026-4e8f-9d55-7fe326a1adf8,6CC840E8552930786132CCF4F1C685A8,TRUE,,,,NAGPUR,Domestic,127
CAR,KG,400 GM,Aloo Bhujia Plain 400 Gm,ADA1A060921B20132,Namkeen_In-Home,400 GM_Namkeen_In-Home,A,Aloo Bhujia (GW) 410 GM*16.4 KG,,82.5893,,79.28,111,111,PAC,Aloo Bhujia,ALOO BHUJIA 410 Gm*16.40 (GW),40,2.439,FD092104101640000D,,2,FALSE,FALSE,,1,B2,,,,0,,,12,,F00760410,21069099,,,410,0,0,0,Aloo Bhujia,Aloo Bhujia,,,,,,,249ca6af-2575-45d7-b5d9-eb4aa3697cc7,6DAEC216DA92846D43A51155C34AEA63,TRUE,,,,NOIDA,Domestic,132
CAR,KG,400 GM,Aloo Bhujia Plain 400 Gm,ADA1A060921B20132,Namkeen_In-Home,400 GM_Namkeen_In-Home,A,Aloo Bhujia 400+40=440 GM*17.6 KG,,79.2796,,74.61,103,103,PAC,Aloo Bhujia,ALOO BHUJIA (400+40)=440 Gm*17.60,40,2.273,FD092104401760000D,,20,FALSE,FALSE,,1,B2,,,,0,,,12,,F0076040003,21069099,,,440,,,74.61,Aloo Bhujia,Aloo Bhujia,,,,,,,748820d0-489f-44c2-9b6b-9ea290f4650f,B7E5A759F9E21D13EA3BF411A5C10AF6,TRUE,,,,NOIDA,Domestic,132
CAR,KG,100 GM,Chocolate Cherish Choco Crispies 80 Gm,FLB7L420211B70434,Chocolate_Frozen,100 GM_Chocolate_Frozen,F,Cherish Choco Crispies 80 GM*4.8 KG,,70.6215,,66,100,100,PAC,Chocolate,CHERISH CHOCO CRISPIES 80GM *4.8KG,60,12.5,FL021100800480000D,,454,FALSE,FALSE,,1,B7,,,,0,,,18,,F74220080,18069010,,,80,,,66,Cherish,Cherish Choco Crispies,,,,,,,0ad2d38d-23c3-4eef-a032-71222e9f9d75,46F14AB0F6B1B5C88F5321292F2C3013,TRUE,,,,NOIDA,Domestic,434
CAR,KG,750 ML,Syrup Thandai Kesaria 750 Ml,EBL6C840878C51531,Beverages_Emerging,750 ML_Beverages_Emerging,E,Syrup Thandai Kesaria 750 ML*9 KG,,250.154,,238.24,325,325,PAC,Squash,SYRUP THANDAI KESARIA 750 ML*9.0 (12),12,1.333,FB087807500900000D,,2813,FALSE,FALSE,,1,C5,,,,0,,,12,,F46930750,20089999,,,750,0,0,0,Syrup,Syrup Thandai Kesaria,,,,,,,0001430c-1a86-4ba7-b453-b736124e0365,869A60F46276B2C29B286B782861A138,TRUE,,,,NOIDA,Domestic,1531
CAR,KG,GIFT PACK,Mazedar Kissey 615 Gm,DJF2L091010B83383,Gift Pack_Ambient,GIFT PACK_Gift Pack_Ambient,D,GP-Mazedar Kissey 615 GM*7.38 KG,,182.4534,,172.12,235,235,PAC,Gift Pack,GP-MAZEDAR KISSEY 615 GM*12.00,12,1.626,FJ101006150738000D,,1110,FALSE,FALSE,,1,B8,,,,0,,,12,,F30910615,21069099,,,615,,,172.12,Gift Pack Combo,Mazedar Kissey,,,,,,,5e87bdb4-d525-4f2b-909b-5e2810f1c134,D32C7F9F8ED4744FEF388AFF3538C81F,TRUE,,,,NOIDA,Domestic,3383
CAR,KG,400 GM,Aloo Bhujia Plain 400 Gm,ADA1A060921B20132,Namkeen_In-Home,400 GM_Namkeen_In-Home,A,Aloo Bhujia  420GM*16.8KG,,83.944,,79.01,110,110,PAC,Aloo Bhujia,Aloo Bhujia (400+20)=420 Gm*16.80,40,2.381,FD092104201680000D,,45,FALSE,FALSE,,1,B2,,,,0,,,12,,F0076040004,21069099,,,420,0,0,0,Aloo Bhujia,Aloo Bhujia,,,,,,,8037c002-9cc0-4e62-ad20-ed5e6b831ce9,06E2AD75555E91D773E9BF7A908947E4,TRUE,,,,NOIDA,Domestic,132
CAR,KG,800 GM,Ladoo Besan 800 Gm,DHI4B260161B60861,Sweets_Ambient,800 GM_Sweets_Ambient,D,Besan Ladoo 400+400 GM*16 KG,,136.646,,127.7,165,165,PAC,Pulses & Cereal Based Sweets,VEG BESAN LADDU 400+400=800G*20,20,1.25,FH016108000800001D,,175,FALSE,FALSE,,1,B6,,,,0,,,5,,F52660800,21069099,,,800,,,127.7,Ladoo,Besan Ladoo,,,,,,,4c87159c-30d8-4d7a-9d90-86c7e52fd9a3,0EC9FE27ACAA1D94E2B8551ABA7EDA5A,TRUE,,,,NOIDA,Domestic,861
CAR,KG,400 GM,Aloo Bhujia Plain 400 Gm,ADA1A060921B20132,Namkeen_In-Home,400 GM_Namkeen_In-Home,A,Aloo Bhujia 400 GM*12 KG NGP,,68.68,,64.79,90,90,PAC,Aloo Bhujia,Aloo Bhujia 400 Gm (12 Kg C/S) Dom Pouch,30,2.5,FD092104001200000D,,17,FALSE,FALSE,,1,B2,,,,0,,,12,,FDNMA1304001200,21069099,,,400,,62.6,64.79,Aloo Bhujia,Aloo Bhujia,,,,,,,5c53f434-3f42-40af-91d2-cb3ca24ff85b,89273735E03478D6CB352974125915DD,TRUE,,,,NAGPUR,Domestic,132
CAR,KG,400 GM,Aloo Bhujia Plain 400 Gm,ADA1A060921B20132,Namkeen_In-Home,400 GM_Namkeen_In-Home,A,Aloo Bhujia 400 GM*12.4 KG NGP,,76.3126,,71.99,100,100,PAC,Aloo Bhujia,Aloo Bhujia 400g (12.4Kg C/S) Dom Pouch,31,2.5,FD092104001240000D,,18,FALSE,FALSE,,1,B2,,,,0,,,12,,FDNMA1304001240,21069099,,,400,0,69.55,71.99,Aloo Bhujia,Aloo Bhujia,,,,,,,e3518485-8d7e-4a9d-bf1a-6b581451fb9c,1E93D4652AAADE273B47E694CB6F3554,TRUE,,,,NAGPUR,Domestic,132
CAR,KG,400 GM,Aloo Bhujia Plain 400 Gm,ADA1A060921B20132,Namkeen_In-Home,400 GM_Namkeen_In-Home,A,Aloo Bhujia 400 GM*16 KG NGP,,68.6813,,64.79,90,90,PAC,Aloo Bhujia,Aloo Bhujia 400 Gm ( 16 Kg C/S),40,2.5,FD092104001600001D,,19,FALSE,FALSE,,1,B2,,,,0,,,12,,FDNMA1304001600,21069099,,,400,,62.6,64.79,Aloo Bhujia,Aloo Bhujia,,,,,,,d458dca0-9bd5-48ba-b211-fcf7d1a87771,175AE00A1E67BA33E6D2A725F213D8AA,TRUE,,,,NAGPUR,Domestic,132
CAR,KG,200 GM,Aloo Bhujia Plain 200 Gm,ADA1A060921B40130,Namkeen_In-Home,200 GM_Namkeen_In-Home,A,Aloo Bhujia (GW) 205 GM*16.4 KG,,41.667,,39.21,56,56,PAC,Aloo Bhujia,ALOO BHUJIA 205 Gm*16.40 (GW),80,4.878,FD092102051640001D,,1,FALSE,FALSE,,1,B4,,,,0,,,12,,F00760205,21069099,,,205,0,0,0,Aloo Bhujia,Aloo Bhujia,,,,,,,3793d8c0-1094-4c1b-a285-b82d315651b5,03C8A53F661E8DC516B6A97C5705F480,TRUE,,,,NOIDA,Domestic,130
CAR,KG,200 GM,Aloo Bhujia Plain 200 Gm,ADA1A060921B40130,Namkeen_In-Home,200 GM_Namkeen_In-Home,A,Aloo Bhujia  210GM*16.8KG,,41.972,,39.5,55,55,PAC,Aloo Bhujia,Aloo Bhujia (200+10)=210 Gm*16.80,80,4.762,FD092102101680001D,,44,FALSE,FALSE,,1,B4,,,,0,,,12,,F0076020004,21069099,,,210,0,39.5,39.5,Aloo Bhujia,Aloo Bhujia,,,,,,,5ad2b9b8-c147-45b0-a413-02ab3c7fa4be,20100FCAF13B6220ED1838B27FDB6A7A,TRUE,,,,NOIDA,Domestic,130
CAR,KG,200 GM,Aloo Bhujia Plain 200 Gm,ADA1A060921B40130,Namkeen_In-Home,200 GM_Namkeen_In-Home,A,Aloo Bhujia 200+20=220 GM*17.6 KG,,40.0246,,37.67,52,52,PAC,Aloo Bhujia,ALOO BHUJIA (200+20)=220 Gm*17.60,80,4.545,FD092102201760001D,,14,FALSE,FALSE,,1,B4,,,,0,,,12,,F0076020003,21069099,,,220,,,37.67,Aloo Bhujia,Aloo Bhujia,,,,,,,7be6d150-65c1-404a-b221-3d74bb7b4363,75F07131A10D833D605F4BC1E98CD6B8,TRUE,,,,NOIDA,Domestic,130
CAR,KG,200 GM,Heeng Jeera Peanut 200 Gm,AEI9A910401B40721,"Nuts, Seeds, Berries_In-Home","200 GM_Nuts, Seeds, Berries_In-Home",A,Heeng Jeera Peanut 200 GM*12 KG,,41.972,,39.5,55,55,PAC,Peanuts,Heeng Jeera Peanut 200*12,60,5,FE040102001200000D,,1270,FALSE,FALSE,,1,B4,,,,0,,,12,,F20650200,20081100,,,200,,,39.5,Heeng Jeera Peanut,Heeng Jeera Peanut,,,,,,,f645ef6d-b604-4443-98ba-9c3ec4af487b,8945D6AD50A76DA48623ECED2C7F9304,TRUE,,,,NOIDA,Domestic,721
CAR,KG,750 ML,Syrup Khus 750 Ml,EBL6C840870C51518,Beverages_Emerging,750 ML_Beverages_Emerging,E,Syrup Khus 750 ML*9 KG,,124.197,,118.28,170,170,PAC,Squash,SYRUP KHUS 750 ML* 9.0 (12),12,1.333,FB087007500900000D,,2807,FALSE,FALSE,,1,C5,,,,0,,,18,,F26980750,21069011,,,750,0,0,0,Syrup,Syrup Khus,,,,,,,b49d5639-681b-4343-9002-9dd942dace82,79D929B3DB4C560FDE549A5653B0A7B1,TRUE,,,,NOIDA,Domestic,1518
CAR,KG,750 ML,Syrup Mango Panna 750 Ml,EBL6C840872C51520,Beverages_Emerging,750 ML_Beverages_Emerging,E,Syrup Mango Panna 750 ML*9 KG,,130.85,,124.62,170,170,PAC,Squash,SYRUP MANGO PANNA 750 ML* 9.0 (12),12,1.333,FB087207500900000D,,2809,FALSE,FALSE,,1,C5,,,,0,,,12,,F29590750,20089911,,,750,0,0,0,Syrup,Syrup Mango Panna,,,,,,,60594bb3-02a7-49e5-a244-b8cafc0b69c1,C7E9B6DE8EF0EF5359DCD7B456A18BA5,TRUE,,,,NOIDA,Domestic,1520
CAR,KG,400 GM,Nut Cracker 400 Gm,AEI9B730619B21079,"Nuts, Seeds, Berries_In-Home","400 GM_Nuts, Seeds, Berries_In-Home",A,Nut Cracker 400+40=440 GM*13.2 KG,,82.3584,,77.51,107,107,PAC,Peanuts,NUT CRACKER (400+40)=440GM *13.20,30,2.273,FE061904401320000D,,1926,FALSE,FALSE,,1,B2,,,,0,,,12,,F349004000151,21069099,,,440,,,77.51,Nut Cracker,Nut Cracker,,,,,,,c0e7f749-5134-479e-b357-7126256696e7,E5A55D234678EE55F8AB6CA3A716E668,TRUE,,,,NOIDA,Domestic,1079
CAR,KG,1 KG,Nut Cracker 1 Kg,AEI9B730619B11074,"Nuts, Seeds, Berries_In-Home","1 KG_Nuts, Seeds, Berries_In-Home",A,Nut Cracker 1 KG*12 KG,,206.044,,193.92,270,270,PAC,Peanuts,Nut Cracker 1 Kg*12,12,1,FE061910001200000D,,1920,FALSE,FALSE,,1,B1,,,,0,,,12,,F34901000,21069099,,,1000,0,0,0,Nut Cracker,Nut Cracker,,,,,,,ce921b6e-c931-4b24-b5da-1ea04ab31afc,3CA08689E8584E642811B24DF6447F4D,TRUE,,,,NOIDA,Domestic,1074
CAR,KG,200 GM,Peanut Roasted (Crushed) 200 Gm,AEI9C280772B41173,"Nuts, Seeds, Berries_In-Home","200 GM_Nuts, Seeds, Berries_In-Home",A,Peanut Roasted (Crushed) 200 GM*12 KG,,49.603,,46.68,65,65,PAC,Peanuts,Peanut Roasted (Crushed) 200Gm*12,60,5,FE077202001200000D,,2168,FALSE,FALSE,,1,B4,,,,0,,,12,,F37240200,20081100,,,200,0,0,0,Roasted (Crushed),Roasted (Crushed) Peanut,,,,,,,5cf498a6-ebb6-46ff-8029-0f8c2f5bbb19,2E0E705852279AA7A378993DC99038AB,TRUE,,,,NOIDA,Domestic,1173
CAR,KG,750 ML,Syrup Pineapple Crush 750 Ml,EBL6C840874C51522,Beverages_Emerging,750 ML_Beverages_Emerging,E,Syrup Pineapple Crush 750 ML*9 KG,,130.85,,124.61,170,170,PAC,Squash,SYRUP PINEAPPLE CRUSH 750 ML* 9.0 (12),12,1.333,FB087407500900000D,,2811,FALSE,FALSE,,1,C5,,,,0,,,12,,F38020750,20089914,,,750,0,0,0,Syrup,Syrup Pineapple Crush,,,,,,,d954f8e5-d0ef-4ccd-9e38-2952a455f50e,59A69F25FF83310D88CD14C5748741A2,TRUE,,,,NOIDA,Domestic,1522
CAR,KG,MRP 5,Chikki Ramdana MRP 5,DHM8A431293A30326,Sweets_Ambient,MRP 5_Sweets_Ambient,D,Chikki Ramdana MRP 5|20 GM*4.8 KG,,3.8095,,3.56,5,5,PAC,Chikki & Gajjak,Chikki (Ramdana) 20*4.80,240,50,FH129300200480000D,,468,FALSE,FALSE,,1,A3,,,,0,,,5,,F41650020,17029090,,,20,,,3.56,Chikki,Rajgeera/Ramdana,,,,,,,44593199-63aa-498e-9072-2751f8300fa0,458224BB468A716FFD5BF051D8CA8AF9,TRUE,,,,NOIDA,Domestic,326
CAR,KG,400 GM,Rasgulla 375 Gm,DHB6C160761B21311,Sweets_Ambient,400 GM_Sweets_Ambient,D,Rasgulla 375 GM*7.5 KG,,87.7195,,86,105,105,PAC,Chenna,RASGULLA (3 PACK TRAY) 375GM*7.500KG,20,2.667,FH076103750750000D,,2401,FALSE,FALSE,,1,B2,,,,0,,,5,,F41860375,21069099,,,375,,,86,Rasgulla,Rasgulla,,,,,,,a43165f7-766f-43f5-8864-a50313f10116,91453F7A274B9D843650C1B818085976,TRUE,,,,NOIDA,Domestic,1311
CAR,KG,MRP 10,Rusk (Suji) 50 Gm,EAK8C353544A14894,Bakery_Emerging,MRP 10_Bakery_Emerging,E,Rusk Suji MRP 10|50GM*2.7KG,,7.441,,6.99,10,10,PAC,Rusk/Toast,Rusk (Suji) 50 Gm*2.70,54,20,FA354400500270000D,,2538,FALSE,FALSE,,1,A1,,,,0,,,5,,F2019001051R,19054000,,,50,0,0,0,Rusk/Toast,Suji Rusk,,,,,,,c3f72129-d7ed-493f-9c71-646a054977bb,B310A2B6CFF01DAEC18F297AF1CBCFA8,TRUE,,,,NOIDA,Domestic,4894
CAR,KG,750 ML,Syrup Rose 750 Ml,EBL6C840877C51528,Beverages_Emerging,750 ML_Beverages_Emerging,E,Syrup Rose 750 ML*9 KG,,124.1967,,118.28,170,170,PAC,Squash,SYRUP ROSE 750 ML*9.0 (12),12,1.333,FB087707500900000D,,2812,FALSE,FALSE,,1,C5,,,,0,,,18,,F43300750,21069011,,,750,0,0,0,Syrup,Syrup Rose,,,,,,,9b94e615-1036-4501-a0ab-31faad1eebde,675FAAC2C19D467B61806147D9E2E3D4,TRUE,,,,NOIDA,Domestic,1528
CAR,KG,400 GM,Salted Peanut-400-Gm,AEI9C370812B22293,"Nuts, Seeds, Berries_In-Home","400 GM_Nuts, Seeds, Berries_In-Home",A,Salted Peanut 400 GM*12 KG,,98.214,,98.21,110,110,PAC,Peanuts,SALTED PEANUT 400 GM*12.00,30,2.5,FE081204001200000D,,2563,FALSE,FALSE,,1,B2,,,,0,,,12,,F4375040051,20081100,,,400,0,0,0,Salted Peanut,Salted Peanut,,,,,,,a81c9396-9e73-4e17-a09b-eb319d39b760,E3F6CAFC2FCBB68A94F5AB3AFC90DBE3,TRUE,,,,NOIDA,Domestic,2293
