ID,Batch_Name,Sku_Id,Sku_Name,Mrp,Manufacture_Date,Manufacture_Time,Expiry_Date,Status
25,BGE220350,14,Senso Repair & Protect Paste 100g,220.00,2022-09-01,00:00:00,2024-08-31,Active
26,22A2331252,15,Senso Sensitivity & Gum Brush-1,100.00,2022-08-01,00:00:00,2025-07-31,Active
27,22E2671550,16,Senso Sensitivity & Gum Brush-3,200.00,2022-09-01,00:00:00,2025-08-31,Active
28,22D2621472,17,Senso Deep Clean Brush-1,75.00,2022-09-01,00:00:00,2025-08-31,Active
29,22D2652538,18,Senso Deep Clean Brush-3,150.00,2022-09-01,00:00:00,2025-08-31,Active
30,BGR220240,19,Senso Rapid Relief Paste 80g,170.00,2022-09-01,00:00:00,2024-08-31,Active
31,22B2601471,20,Senso Expert Brush-1pc,100.00,2022-09-01,00:00:00,2027-08-31,Active
32,22B2651537,21,Senso Expert Brush-3pc,200.00,2022-09-01,00:00:00,2027-08-31,Active
33,BM220593,22,Senso Freshmint Paste 75g,120.00,2022-06-01,00:00:00,2024-05-31,Active
34,BM220509,23,Senso Freshmint 150g + Brush Free,210.00,2022-05-01,00:00:00,2024-04-30,Active
35,BGM220649,24,Senso Freshmint Paste 150g,210.00,2022-07-01,00:00:00,2024-06-30,Active
36,BGG220525,25,Senso Freshgel Paste 75g,120.00,2022-07-01,00:00:00,2024-06-30,Active
37,BGG220541,26,Senso Freshgel Paste 150g,210.00,2022-07-01,00:00:00,2024-06-30,Active
38,BGE220267,27,Senso Repair & Protect Paste 72X70g,185.00,2022-07-01,00:00:00,2024-06-30,Active
39,I22004,28,Iodex Spray 60g,205.00,2022-05-01,00:00:00,2024-04-30,Active
40,M220543,29,Eno Lemon Sixer Pack 6X5g,54.00,2022-07-01,00:00:00,2024-06-30,Active
41,I21026,30,IODEX RAPID ACTION SPRAY 1X35G_SRP_TRF,420.00,2021-10-01,00:00:00,2023-09-30,Active
42,MCMB22002,1,Centrum Men Tab 30,475.00,2022-09-01,00:00:00,2024-01-31,Active
43,MCWB22002,2,Centrum Women Tab 30,495.00,2022-09-01,00:00:00,2024-01-31,Active
44,MCAB22003,3,Centrum Adult Tab 30,495.00,2022-09-01,00:00:00,2024-01-31,Active
45,SK23001,7,Centrum Kids Gummies 30,495.00,2022-10-01,00:00:00,2024-03-31,Active
46,MCMB22004,1,Centrum Men Tab 30,475.00,2022-10-01,00:00:00,2024-03-31,Active
47,MCWB22004,2,Centrum Women Tab 30,495.00,2022-10-01,00:00:00,2024-03-31,Active
48,MCAB22004,3,Centrum Adult Tab 30,495.00,2022-10-01,00:00:00,2024-03-31,Active
49,SK23001,7,Centrum Kids Gummies 30,495.00,2022-10-01,00:00:00,2024-03-31,Active
50,SK2202,8,Centrum Kids Gummies 50,740.00,2022-08-01,00:00:00,2024-01-31,Active
51,SK2203,8,Centrum Kids Gummies 50,740.00,2022-10-01,00:00:00,2024-03-31,Active
52,MCMB22001,1,Centrum Men Tab 30,475.00,2022-10-01,00:00:00,2024-03-31,Active
53,MCWB22001,2,Centrum Women Tab 30,495.00,2022-10-01,00:00:00,2024-03-31,Active
54,MCMA22001,4,Centrum Men Tab 50,710.00,2022-10-01,00:00:00,2024-03-31,Active
55,MCWA22001,5,Centrum Women Tab 50,740.00,2022-10-01,00:00:00,2024-03-31,Active
56,MCAA22001,6,Centrum Adult Tab 50,740.00,2022-10-01,00:00:00,2024-03-31,Active
57,MCAB22001,3,Centrum Adult Tab 30,495.00,2022-10-01,00:00:00,2024-03-31,Active
58,MCAA22002,6,Centrum Adult Tab 50,740.00,2022-10-01,00:00:00,2024-03-31,Active
59,SK2201,8,Centrum Kids Gummies 50,740.00,2022-10-01,00:00:00,2024-03-31,Active
60,MCMA22003,4,Centrum Men Tab 50,710.00,2022-10-01,00:00:00,2024-03-31,Active
61,MCWA22003,5,Centrum Women Tab 50,740.00,2022-10-01,00:00:00,2024-03-31,Active
62,MCAA22001,6,Centrum Adult Tab 50,740.00,2022-10-01,00:00:00,2024-03-31,Active
63,SK23001,7,Centrum Kids Gummies 30,495.00,2022-10-01,00:00:00,2024-03-31,Active
64,SK2201,8,Centrum Kids Gummies 50,740.00,2022-10-01,00:00:00,2024-03-31,Active
65,MCAB22001,3,Centrum Adult Tab 30,495.00,2022-10-01,00:00:00,2024-03-31,Active
66,MCMA22001,4,Centrum Men Tab 50,710.00,2022-10-01,00:00:00,2024-03-31,Active
67,MCMB22003,1,Centrum Men Tab 30,475.00,2022-10-01,00:00:00,2024-02-28,Active
68,MCWB22003,2,Centrum Women Tab 30,495.00,2022-10-01,00:00:00,2024-03-31,Active
69,MCAB22001,3,Centrum Adult Tab 30,495.00,2022-10-01,00:00:00,2024-03-31,Active
70,MCMA22001,4,Centrum Men Tab 50,710.00,2022-10-01,00:00:00,2024-03-31,Active
71,MCWA22001,5,Centrum Women Tab 50,740.00,2022-10-01,00:00:00,2024-03-31,Active
72,MCAA22001,6,Centrum Adult Tab 50,740.00,2022-10-01,00:00:00,2024-03-31,Active
73,SK23001,7,Centrum Kids Gummies 30,495.00,2022-10-01,00:00:00,2024-03-31,Active
74,SK2201,8,Centrum Kids Gummies 50,740.00,2022-10-01,00:00:00,2024-03-31,Active
75,SK23001,7,Centrum Kids Gummies 30,495.00,2022-11-01,00:00:00,2024-04-30,Active
76,MCMB22001,1,Centrum Men Tab 30,475.00,2022-12-01,00:00:00,2024-12-01,Active
77,MCWB22001,2,Centrum Women Tab 30,495.00,2022-12-01,00:00:00,2024-12-01,Active
78,MCAB22001,3,Centrum Adult Tab 30,495.00,2022-12-01,00:00:00,2024-12-01,Active
79,MCMA22001,4,Centrum Men Tab 50,710.00,2022-12-01,00:00:00,2024-12-01,Active
80,MCWA22001,5,Centrum Women Tab 50,740.00,2022-12-01,00:00:00,2024-12-01,Active
81,MCAA22001,6,Centrum Adult Tab 50,740.00,2022-12-01,00:00:00,2024-12-01,Active
82,SK23001,7,Centrum Kids Gummies 30,495.00,2022-12-01,00:00:00,2024-12-01,Active
83,SK2201,8,Centrum Kids Gummies 50,740.00,2022-12-01,00:00:00,2024-12-01,Active
84,O20004,9,Otrivin Breathe Clean 100ML,335.00,2022-12-01,00:00:00,2024-12-01,Active
85,HF8V,10,Polident 20g,315.00,2022-12-01,00:00:00,2024-12-01,Active
86,BGS220026,11,Senso Sensitivity & Gum Paste 70g,195.00,2022-12-01,00:00:00,2024-12-01,Active
87,BGU220001,12,Parodontax  Ultraclean Paste 75g,115.00,2022-12-01,00:00:00,2024-12-01,Active
88,BF210001,13,Parodontax Daily Fluoride Paste 75g,115.00,2022-12-01,00:00:00,2024-12-01,Active
89,BGE220413,14,Senso Repair & Protect Paste 100g,235.00,2022-12-01,00:00:00,2024-12-01,Active
90,21E1611078,15,Senso Sensitivity & Gum Brush-1,100.00,2022-12-01,00:00:00,2024-12-01,Active
91,22E3231074,16,Senso Sensitivity & Gum Brush-3,220.00,2022-12-01,00:00:00,2024-12-01,Active
92,22D2942810,17,Senso Deep Clean Brush-1,80.00,2022-12-01,00:00:00,2024-12-01,Active
93,22D3001846,18,Senso Deep Clean Brush-3,160.00,2022-12-01,00:00:00,2024-12-01,Active
94,BGR220301,19,Senso Rapid Relief Paste 80g,180.00,2022-12-01,00:00:00,2024-12-01,Active
95,22B0000001,20,Senso Expert Brush-1pc,100.00,2022-12-01,00:00:00,2024-12-01,Active
96,22B3003856,21,Senso Expert Brush-3pc,220.00,2022-12-01,00:00:00,2024-12-01,Active
97,BGM220854,22,Senso Freshmint Paste 75g,125.00,2022-12-01,00:00:00,2024-12-01,Active
98,BGM220001,23,Senso Freshmint 150g + Brush Free,210.00,2022-12-01,00:00:00,2024-12-01,Active
99,BGM220891,24,Senso Freshmint Paste 150g,220.00,2022-12-01,00:00:00,2024-12-01,Active
100,BGG220766,25,Senso Freshgel Paste 75g,125.00,2022-12-01,00:00:00,2024-12-01,Active
101,BGG220813,26,Senso Freshgel Paste 150g,220.00,2022-12-01,00:00:00,2024-12-01,Active
102,BGE220430,27,Senso Repair & Protect Paste 72X70g,195.00,2022-12-01,00:00:00,2024-12-01,Active
103,I22003,28,Iodex Spray 60g,205.00,2022-12-01,00:00:00,2024-12-01,Active
104,L211282,29,Eno Lemon Sixer Pack 6X5g,54.00,2022-12-01,00:00:00,2024-12-01,Active
105,Testbatch,30,IODEX RAPID ACTION SPRAY 1X35G_SRP_TRF,420.00,2022-12-01,00:00:00,2024-12-01,Active
106,Testbatch,31,TESTSKU,100.00,2022-12-01,00:00:00,2024-12-01,Active
107,I22008,32,Iodex Spray 3X35g,447.00,2022-11-01,00:00:00,2024-10-31,Active
108,VM22011,33,Otrivin Moisturizing Adult,130.66,2022-08-01,00:00:00,2025-07-31,Active
109,VK22009,34,Otrivin Moisturizing Paed,101.01,2022-08-01,00:00:00,2025-07-31,Active
110,VZ22014,35,Otrivin Baby Saline,62.68,2022-10-01,00:00:00,2024-09-30,Active
111,VX21376,36,Otrivin FR,96.80,2022-12-01,00:00:00,2024-12-01,Active
112,VS22006,37,Otrivin Saline,70.86,2022-03-01,00:00:00,2025-02-28,Active
113,VP22058,38,Otrivin Paed,48.83,2022-12-01,00:00:00,2024-12-01,Active
114,22A2942813,39,Senso. Sensitive Brush 1pc,60.00,2022-12-01,00:00:00,2024-12-01,Active
115,222960,40,Senso Sensitive Brush 2+1 Pack,120.00,2022-12-01,00:00:00,2024-12-01,Active
116,22A0493429,41,Senso Sensitive Brush 4pc Pack,145.00,2022-12-01,00:00:00,2024-12-01,Active
"117, 'BGS220032', '42', 'Senso Sensit. & Gum Paste 70g X 2 (140g"
"118, 'BF210021', '43', 'Paro. Daily Fluoride Paste 75g X 2(150g"
"119, 'BGU220001', '44', 'Paro. Ultra Clean Paste 75gX2( 150g"
120,BGW220038,45,Senso Whitening Paste 70g,140.00,2022-11-01,00:00:00,2025-10-31,Active
121,BGD220059,46,Senso Deep Clean Paste 70g,135.00,2022-12-01,00:00:00,2024-12-01,Active
"122, 'BGG220838', '47', 'Senso Freshgel 450gms (2+1 Pack"
"123, 'BGM220908', '48', 'Senso Freshmint 450gms (2+1 Pack"
124,BG210880,49,Sensodyne Fresh Gel Pack of 3,630.00,2022-12-01,00:00:00,2024-12-01,Active
125,BGM220001,50,Sensodyne Fresh Mint Pack of 3,630.00,2022-12-01,00:00:00,2024-12-01,Active
"126, 'BE210434', '51', 'Senso Repair & Protect Paste 140g(70gX2"
"127, 'BGR220001', '52', 'Senso Rapid Relief Paste 160g (80gX2"
"128, 'BGL220001', '53', 'Senso Freshgel 225g (75gX3"
"129, 'Testbatch', '54', 'Senso Rapid Relied 240g (80gX3"
130,BGQ220001,55,Senso Complete Protection Paste 70g,195.00,2022-12-01,00:00:00,2024-12-01,Active
"131, 'BGQ220001', '56', 'Senso CP Paste 140g (70gX2"
132,Testbatch,57,Centrum Immune Defence Gummies 30,1080.00,2022-12-01,00:00:00,2024-12-01,Active
133,Testbatch,58,Centrum Sleep & Refresh Gummies 30,900.00,2022-12-01,00:00:00,2024-12-01,Active
134,Testbatch,59,Centrum Digestive Balance Gummies 30,900.00,2022-12-01,00:00:00,2024-12-01,Active
135,Testbatch,60,Centrum Kids Immune Fuel Gummies 30,1080.00,2022-12-01,00:00:00,2024-12-01,Active
136,P22001,61,Iodex Power Gel 30g,130.00,2022-12-01,00:00:00,2024-12-01,Active
137,H22280,62,Iodex Balm 16g,84.00,2022-12-01,00:00:00,2024-12-01,Active
138,H22263,63,Iodex Balm 40g,160.00,2022-12-01,00:00:00,2024-12-01,Active
139,U22054,64,Iodex Ultragel 30g,130.00,2022-12-01,00:00:00,2024-12-01,Active
140,U22001,65,Iodex Ultragel 15gm,390.00,2022-12-01,00:00:00,2024-12-01,Active
141,H22001,66,Iodex Balm 8gm,40.00,2022-12-01,00:00:00,2024-12-01,Active
142,U22001,67,Iodex Ultragel 50g,180.00,2022-12-01,00:00:00,2024-12-01,Active
143,SL22001,68,Eno Regular Jar 100g,150.00,2022-12-01,00:00:00,2024-12-01,Active
144,SL22001,69,Eno Lemon Jar 100m,150.00,2022-12-01,00:00:00,2024-12-01,Active
145,SE22001,70,Eno Orange Jar 100a,150.00,2022-12-01,00:00:00,2024-12-01,Active
146,L22J001,71,Eno Jaljeera 5g,9.00,2022-12-01,00:00:00,2024-12-01,Active
147,S22U001,72,Eno Nimbu Masala 5gm,9.00,2022-12-01,00:00:00,2024-12-01,Active
148,L10001,73,ENO POWDER LEMON 1X5G SACHET,9.00,2022-12-01,00:00:00,2024-12-01,Active
149,S0R271,74,ENO POWDER Regular 1X5G SACHET,9.00,2022-12-01,00:00:00,2024-12-01,Active
150,S1E001,75,ENO POWDER Orange 1X5G SACHET,9.00,2022-12-01,00:00:00,2024-12-01,Active
151,S1C001,76,ENO Cola 1X5G SACHET,9.00,2022-12-01,00:00:00,2024-12-01,Active
152,Testbatch,77,Ostocalcium Plus Tab - 30,196.80,2022-12-01,00:00:00,2024-12-01,Active
153,Testbatch,78,Ostocalcium B12 Banana syrup 200ml,167.00,2022-12-01,00:00:00,2024-12-01,Active
154,Testbatch,79,Ostocalcium B12 Lemon syrup 200ml,152.00,2022-12-01,00:00:00,2024-12-01,Active
155,Testbatch,80,Crocin 650mg Tablet,35.00,2022-12-01,00:00:00,2024-12-01,Active
156,Testbatch,81,Crocin Pain Relief Tablet,65.73,2022-12-01,00:00:00,2024-12-01,Active
157,Testbatch,82,Crocin Advance 500mg Tablet,23.00,2022-12-01,00:00:00,2024-12-01,Active
158,C21005,83,Crocin Drops Paed Pepermint 15ml,27.21,2022-12-01,00:00:00,2024-12-01,Active
159,Testbatch,84,Crocin 240 DS Paed Mixed fruit,96.00,2022-12-01,00:00:00,2024-12-01,Active
160,Testbatch,85,Crocin 120 Paed strawberry,35.61,2022-12-01,00:00:00,2024-12-01,Active
161,BGR220294,86,Senso Rapid Relief paste 40 gm,100.00,2022-12-01,00:00:00,2024-12-01,Active
162,BGD220063,87,Senso Deep Clean Paste 40 gm,85.00,2022-12-01,00:00:00,2024-12-01,Active
163,BGM220001,88,SENSODYNE 40G FRESHMINT,80.00,2022-12-01,00:00:00,2024-12-01,Active
164,BG210738,89,SENSODYNE 40G FRESHGEL,80.00,2022-12-01,00:00:00,2024-12-01,Active
165,MCMB22007,1,Centrum Men Tab 30,475.00,2022-11-01,00:00:00,2024-04-30,Active
166,MCWB22001,2,Centrum Women Tab 30,495.00,2022-11-01,00:00:00,2024-04-30,Active
167,MCAB22006,3,Centrum Adult Tab 30,495.00,2022-11-01,00:00:00,2024-04-30,Active
168,MCMA22005,4,Centrum Men Tab 50,710.00,2022-11-01,00:00:00,2024-04-30,Active
169,MCWA22005,5,Centrum Women Tab 50,740.00,2022-11-01,00:00:00,2024-04-30,Active
170,SK23001,7,Centrum Kids Gummies 30,495.00,2022-11-01,00:00:00,2024-04-30,Active
171,O22001,9,Otrivin Breathe Clean 100ML,335.00,2022-09-01,00:00:00,2024-08-31,Active
172,VZ22015,35,Otrivin Baby Saline,62.68,2022-11-01,00:00:00,2024-10-31,Active
173,VP22144,38,Otrivin Paed,48.83,2022-10-01,00:00:00,2025-09-30,Active
174,VM22012,33,Otrivin Moisturizing Adult,130.66,2022-10-01,00:00:00,2025-09-30,Active
175,BGS220026,11,Senso Sensitivity & Gum Paste 70g,195.00,2022-11-01,00:00:00,2024-10-31,Active
176,BGE220447,14,Senso Repair & Protect Paste 100g,235.00,2022-11-01,00:00:00,2024-10-31,Active
177,22E2041954,15,Senso Sensitivity & Gum Brush-1,100.00,2022-07-01,00:00:00,2025-06-30,Active
178,BGR220307,19,Senso Rapid Relief Paste 80g,180.00,2022-11-01,00:00:00,2024-10-31,Active
179,BSM22088,22,Senso Freshmint Paste 75g,125.00,2022-11-01,00:00:00,2024-10-31,Active
180,BGM220894,24,Senso Freshmint Paste 150g,220.00,2022-11-01,00:00:00,2024-10-31,Active
181,BGG220793,25,Senso Freshgel Paste 75g,125.00,2022-11-01,00:00:00,2024-10-31,Active
182,BGG220816,26,Senso Freshgel Paste 150g,220.00,2022-11-01,00:00:00,2024-10-31,Active
183,BGE220435,27,Senso Repair & Protect Paste 72X70g,195.00,2022-11-01,00:00:00,2024-10-31,Active
184,22A2953824,39,Senso. Sensitive Brush 1pc,60.00,2022-10-01,00:00:00,2027-09-30,Active
185,223040,40,Senso Sensitive Brush 2+1 Pack,120.00,2022-10-01,00:00:00,2027-09-30,Active
186,H22306,63,Iodex Balm 40g,160.00,2022-11-01,00:00:00,2024-10-31,Active
187,U22088,64,Iodex Ultragel 30g,130.00,2022-10-01,00:00:00,2024-09-30,Active
188,H22328,66,Iodex Balm 8gm,42.00,2022-11-01,00:00:00,2024-10-31,Active
189,U22082,67,Iodex Ultragel 50g,180.00,2022-09-01,00:00:00,2024-08-31,Active
190,SR22211,68,Eno Regular Jar 100g,150.00,2022-10-01,00:00:00,2024-09-30,Active
191,SL22220,69,Eno Lemon Jar 100m,150.00,2022-11-01,00:00:00,2024-10-31,Active
192,L221644,73,ENO POWDER LEMON 1X5G SACHET,9.00,2022-10-01,00:00:00,2024-09-30,Active
193,S22R196,74,ENO POWDER Regular 1X5G SACHET,9.00,2022-09-01,00:00:00,2024-08-31,Active
194,S22E223,75,ENO POWDER Orange 1X5G SACHET,9.00,2022-09-01,00:00:00,2024-08-31,Active
195,BGR220294,86,Senso Rapid Relief paste 40 gm,100.00,2022-11-01,00:00:00,2024-10-31,Active
196,BGM220849,88,SENSODYNE 40G FRESHMINT,80.00,2022-10-01,00:00:00,2024-09-30,Active
197,I22007,28,Iodex Spray 60g,205.00,2022-11-01,00:00:00,2024-10-31,Active
198,L221802,29,Eno Lemon Sixer Pack 6X5g,54.00,2022-11-01,00:00:00,2024-10-31,Active
199,S22C076,76,ENO Cola 1X5G SACHET,9.00,2022-08-01,00:00:00,2024-07-31,Active
200,NB22091,78,Ostocalcium B12 Banana syrup 200ml,166.73,2022-11-01,00:00:00,2024-04-30,Active
"201, 'BGG220838', '47', 'Senso Freshgel 450gms (2+1 Pack"
"202, 'BGG220839', '47', 'Senso Freshgel 450gms (2+1 Pack"
"203, 'BGG220840', '47', 'Senso Freshgel 450gms (2+1 Pack"
"204, 'BGM220910', '48', 'Senso Freshmint 450gms (2+1 Pack"
"205, 'BGM220915', '48', 'Senso Freshmint 450gms (2+1 Pack"
206,BGR220303,19,Senso Rapid Relief Paste 80g,180.00,2022-11-01,00:00:00,2024-10-31,Active
207,BGM220892,24,Senso Freshmint Paste 150g,220.00,2022-11-01,00:00:00,2024-10-31,Active
208,BGG220826,26,Senso Freshgel Paste 150g,220.00,2022-11-01,00:00:00,2024-10-31,Active
209,BGE220431,27,Senso Repair & Protect Paste 72X70g,195.00,2022-10-01,00:00:00,2024-09-30,Active
210,SR22224,68,Eno Regular Jar 100g,150.00,2022-10-01,00:00:00,2024-09-30,Active
211,SL22232,69,Eno Lemon Jar 100m,150.00,2022-11-01,00:00:00,2024-10-31,Active
212,BGM220802,88,SENSODYNE 40G FRESHMINT,80.00,2022-09-01,00:00:00,2024-08-31,Active
"213, 'BGG220844', '47', 'Senso Freshgel 450gms (2+1 Pack"
"214, 'BGG220845', '47', 'Senso Freshgel 450gms (2+1 Pack"
"215, 'BGM220913', '48', 'Senso Freshmint 450gms (2+1 Pack"
"216, 'BGM220918', '48', 'Senso Freshmint 450gms (2+1 Pack"
217,BGS220027,11,Senso Sensitivity & Gum Paste 70g,195.00,2022-11-01,00:00:00,2024-10-31,Active
218,22E3212076,15,Senso Sensitivity & Gum Brush-1,110.00,2022-11-01,00:00:00,2025-10-31,Active
219,BGR220301,19,Senso Rapid Relief Paste 80g,180.00,2022-11-01,00:00:00,2025-10-31,Active
220,22B3331161,21,Senso Expert Brush-3pc,220.00,2022-11-01,00:00:00,2027-10-31,Active
221,BGM220891,24,Senso Freshmint Paste 150g,220.00,2022-11-01,00:00:00,2027-10-31,Active
222,BGG220813,26,Senso Freshgel Paste 150g,220.00,2022-11-01,00:00:00,2027-10-31,Active
223,BGE220430,27,Senso Repair & Protect Paste 72X70g,195.00,2022-11-01,00:00:00,2027-10-31,Active
224,22A3013867,40,Senso Sensitive Brush 2+1 Pack,120.00,2022-10-01,00:00:00,2027-09-30,Active
225,SL22001,68,Eno Regular Jar 100g,150.00,2022-10-01,00:00:00,2027-09-30,Active
226,SL22001,69,Eno Lemon Jar 100m,150.00,2022-10-01,00:00:00,2027-09-30,Active
227,BGR220294,86,Senso Rapid Relief paste 40 gm,100.00,2022-10-01,00:00:00,2027-09-30,Active
228,BGE220452,14,Senso Repair & Protect Paste 100g,235.00,2022-11-01,00:00:00,2024-10-31,Active
229,BGM220872,22,Senso Freshmint Paste 75g,125.00,2022-11-01,00:00:00,2024-10-31,Active
230,BGM220891,24,Senso Freshmint Paste 150g,220.00,2022-11-01,00:00:00,2024-10-31,Active
231,BGG220782,25,Senso Freshgel Paste 75g,125.00,2022-10-01,00:00:00,2024-09-30,Active
232,BGG220813,26,Senso Freshgel Paste 150g,220.00,2022-10-01,00:00:00,2024-09-30,Active
233,BGE220430,27,Senso Repair & Protect Paste 72X70g,195.00,2022-10-01,00:00:00,2024-09-30,Active
234,S22L571,29,Eno Lemon Sixer Pack 6X5g,54.00,2022-11-01,00:00:00,2024-10-31,Active
235,22A3061880,39,Senso. Sensitive Brush 1pc,60.00,2022-11-01,00:00:00,2027-10-31,Active
236,H22313,63,Iodex Balm 40g,160.00,2022-11-01,00:00:00,2024-10-31,Active
237,U22095,64,Iodex Ultragel 30g,130.00,2022-11-01,00:00:00,2024-10-31,Active
238,SL22001,68,Eno Regular Jar 100g,150.00,2022-11-01,00:00:00,2024-10-31,Active
239,SL22001,69,Eno Lemon Jar 100m,150.00,2022-11-01,00:00:00,2024-10-31,Active
240,S221010,73,ENO POWDER LEMON 1X5G SACHET,9.00,2022-11-01,00:00:00,2024-10-31,Active
241,S22R227,74,ENO POWDER Regular 1X5G SACHET,9.00,2022-11-01,00:00:00,2024-10-31,Active
242,S22E253,75,ENO POWDER Orange 1X5G SACHET,9.00,2022-11-01,00:00:00,2024-10-31,Active
243,BGR220294,86,Senso Rapid Relief paste 40 gm,100.00,2022-11-01,00:00:00,2024-10-31,Active
"244, 'BGG220846', '47', 'Senso Freshgel 450gms (2+1 Pack"
"245, 'BGM220908', '48', 'Senso Freshmint 450gms (2+1 Pack"
"246, 'BGM220919', '48', 'Senso Freshmint 450gms (2+1 Pack"
247,BGS220026,11,Senso Sensitivity & Gum Paste 70g,195.00,2022-11-01,00:00:00,2024-10-31,Active
248,BGE220413,14,Senso Repair & Protect Paste 100g,235.00,2022-11-01,00:00:00,2024-10-31,Active
249,21E1611078,15,Senso Sensitivity & Gum Brush-1,100.00,2022-11-01,00:00:00,2024-10-31,Active
250,BGR220301,19,Senso Rapid Relief Paste 80g,180.00,2022-11-01,00:00:00,2024-10-31,Active
251,BGM220854,22,Senso Freshmint Paste 75g,125.00,2022-11-01,00:00:00,2024-10-31,Active
252,BGM220891,24,Senso Freshmint Paste 150g,220.00,2022-11-01,00:00:00,2024-10-31,Active
253,BGG220766,25,Senso Freshgel Paste 75g,125.00,2022-11-01,00:00:00,2024-10-31,Active
254,BGG220813,26,Senso Freshgel Paste 150g,220.00,2022-11-01,00:00:00,2024-10-31,Active
255,BGE220430,27,Senso Repair & Protect Paste 72X70g,195.00,2022-11-01,00:00:00,2024-10-31,Active
256,222960,40,Senso Sensitive Brush 2+1 Pack,120.00,2022-11-01,00:00:00,2024-10-31,Active
257,H22323,62,Iodex Balm 16g,84.00,2022-11-01,00:00:00,2024-10-31,Active
258,H22263,63,Iodex Balm 40g,160.00,2022-11-01,00:00:00,2024-10-31,Active
259,U22054,64,Iodex Ultragel 30g,130.00,2022-11-01,00:00:00,2024-10-31,Active
260,U22091,67,Iodex Ultragel 50g,180.00,2022-10-01,00:00:00,2024-09-30,Active
261,SL22001,68,Eno Regular Jar 100g,150.00,2022-10-01,00:00:00,2024-09-30,Active
262,SL22001,69,Eno Lemon Jar 100m,150.00,2022-10-01,00:00:00,2024-09-30,Active
263,L10001,73,ENO POWDER LEMON 1X5G SACHET,9.00,2022-10-01,00:00:00,2024-09-30,Active
264,BGR220294,86,Senso Rapid Relief paste 40 gm,100.00,2022-10-01,00:00:00,2024-09-30,Active
265,MCMA22001,4,Centrum Men Tab 50,710.00,2022-10-01,00:00:00,2024-09-30,Active
266,MCWA22001,5,Centrum Women Tab 50,740.00,2022-10-01,00:00:00,2024-09-30,Active
267,MCAA22003,6,Centrum Adult Tab 50,740.00,2022-11-01,00:00:00,2024-04-30,Active
268,MCWA22001,5,Centrum Women Tab 50,740.00,2022-11-01,00:00:00,2024-04-30,Active
269,MCAB22005,3,Centrum Adult Tab 30,495.00,2022-11-01,00:00:00,2024-04-30,Active
270,MCMA22001,4,Centrum Men Tab 50,710.00,2022-11-01,00:00:00,2024-04-30,Active
271,MCWA22001,5,Centrum Women Tab 50,740.00,2022-11-01,00:00:00,2024-04-30,Active
272,MCAA22001,6,Centrum Adult Tab 50,740.00,2022-11-01,00:00:00,2024-04-30,Active
