insertid,Region_Code,REGION,RSM_Code,RSM_Area,SO,Distributor_Code,Distributor_Name,distributor_channel_type,distributor_type,distributor_city,distributor_state,UID,RetailerCode,RetailerName,SalesMan_Code,SalesMan_Name,Sales_Rep_Phone,saleman_role,Type,outlet_type,Sub_Type,Price_Group,Retailer_Group,Route_Code,Route_Name,warehouse_id,Category_Code,Category_Name,Sub_Channel_Code,Sub_Channel_Name,Channel_Code,Channel_Name,Class_Name,ACCOUNT_CODE,ACCOUNT_NAME,PAN_No,GST_No,Address_1,Address_2,Address_3,Address_4,outlet_pin_code,Town,City,State,latitude,longitude,Contact_Name,Mobile,Email,owner_name,owner_mobile,Aadhar,Credit_Limit,Credit_Period,cash_credit,source,Location_Code,Location_Name,Return_Qty,Return_Value,FSSAI_No,FSSAI_Exp_Date,Retailer_Created_On,outlet_createdby_id,outlet_createdbyname,Modified_Date,Retailer_Reference_Code,IsActive,last_order_date,last_invoice_date,otp_verified
19,4,West,8,Maharashtra,Pushkaraj Trading company,47,PUSHKRAJ TRADING COMPANY,,,,,,4712,lalit medical,,,,,,GT Pharmacy,0,,,,,,85,MD - OTC,,,,,,,,,27APVPS0817F1ZI,1 nikam hospital new pandit colony sharanpur road,,,,422002,Nashik,NASHIK,MAHARASHTRA,20.004828,73.775934,,8888170777,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
20,2,South,7,Karnataka,PARS OPTIMA ENTERPRISES LLP,5226,PARS OPTIMA ENTERPRISES LLP,,,,,,4819,SRI VENKATESHWARA MEDICALS HSR LAYOUT,,,,,,GT Pharmacy,0,,,,,,86,MD - OHC,,,,,,,,,29DNPPS1626R1ZV,1213 22nd cross sector 3 HSR Layout,,,,560102,Bangalore,BANGALORE RURAL,KARNATAKA,12.909299,77.638523,,8971612215,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
21,4,West,10,Gujarat,SHREEJI TRADERS_GT,49,SHREEJI TRADERS,,,,,,4848,jay umiya dairy parlur,,,,,,GT Pharmacy,0,,,,,,102,MD 1,,,,,,,,,NA,ranchod nagar vandematram,,,,382470,Ahmedabad,AHMADABAD,GUJARAT,23.096815,72.547254,,7477373154,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
22,2,South,7,Karnataka,PARS OPTIMA ENTERPRISES LLP,5226,PARS OPTIMA ENTERPRISES LLP,,,,,,4859,Life Care Medicals,,,,,,GT Pharmacy,0,,,,,,84,MD - OTC + OHC,,,,,,,,,NA,1209 22nd Cross 15th Main 3rd Sector HSR Layout,,,,560102,Bangalore,BANGALORE RURAL,KARNATAKA,12.909327,77.638945,,9538155499,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
23,4,West,10,Gujarat,AGRAWAL AND CO,15603,AGRAWAL AND CO,,,,,,4918,Adhyamaheshwar Chemist,6072,,,,,GT Pharmacy,0,,,,,,84,MD - OTC + OHC,,,,,,,,,24AAYFA1949G1Z6,R 18 Hareram complex Chhani Jakat naka circle Nizampura Main Road,,,,390024,Vadodara,VADODARA,GUJARAT,22.343968,73.176416,,9913892485,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
24,4,West,24,Goa,M/S AMEY ENTERPRISES,6045,M/S AMEY ENTERPRISES,,,,,,4970,THE HEALTH HUB CHEMIST DRUGGIST,,,,,,GT Pharmacy,0,,,,,,85,MD - OTC,,,,,,,,,30AHMPL6616Q1ZW,HNO 9 1370 SHOP NO G 1 CHAMPA VIHAR BUILDING COMBA MARGAO,,,,403601,Madgaon,Madgaon,GOA,15.273444,73.953925,,9764644473,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
25,2,South,9,Telangana,SWAPNA ENTERPRISES,18710,SWAPNA ENTERPRISES,,,,,,4979,Med Pharmacy,,,,,,GT Pharmacy,0,,,,,,86,MD - OHC,,,,,,,,,NA,Bank Colony Sitramapur Karimnagar,,,,505001,Karimnagar,KARIMNAGAR,Andhra Pradesh,18.458333,79.121693,,7671868133,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
26,4,West,10,Gujarat,AGRAWAL AND CO,15603,AGRAWAL AND CO,,,,,,5017,Shrinath Medical store,,,,,,GT Pharmacy,0,,,,,,86,MD - OHC,,,,,,,,,24AWAPS6128H1ZJ,Dwarkesh Apartment Nizampura,,,,390002,Vadodara,VADODARA,GUJARAT,22.343978,73.176439,,9924359137,,,,,,,,,,,,,,,0000-00-00,,,,,1,,,1
"27, '-', 'West', '-', '-', '-', '1100730148', 'AASHAN VENTURES', 'GT', 'Super Redistribution Wholesaler', 'AHMEDNAGAR', 'MAHARASHTRA', '-', '736463', 'Ganesh Agency', 'null', 'null', '-', '-', '-', 'Sub Redistribution Wholesaler', '-', '-', '-', 'NULL', 'NULL', '241', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'Surekalna Nandi Road', 'NULL', 'NULL', 'NULL', '414002', 'Nevasa Kh.(Rural"
28,-,South,-,-,-,1100728874,MARINA TRADERS,GT,Hybrid Redistribution Wholesaler,KANYAKUMARI,TAMIL NADU,-,736470,A.M.S TRADERS,6072,VIJAYAKUMAR,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,140,-,-,-,-,-,-,-,-,-,-,33BAJPA0042C1ZQ,NUTANHAT,-,-,-,629175,THUCKALY,Kalkulam,WEST BENGAL,8.206494,77.332509,-,9789213339,-,-,-,-,999999999,1000,credit,web,-,-,0,0.00,-,-,45143,3212,MARINA TRADERS,45748,-,1,45794,45796,NULL
29,-,South,-,-,-,1100728874,MARINA TRADERS,GT,Hybrid Redistribution Wholesaler,KANYAKUMARI,TAMIL NADU,-,736470,A.M.S TRADERS,6072,VIJAYAKUMAR,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,140,-,-,-,-,-,-,-,-,-,-,33BAJPA0042C1ZQ,NUTANHAT,-,-,-,629175,THUCKALY,Kalkulam,WEST BENGAL,8.206494,77.332509,-,9789213339,-,-,-,-,999999999,1000,credit,web,-,-,0,0.00,-,-,45143,3212,MARINA TRADERS,45748,-,1,45794,45796,NULL
"30, '-', 'West', '-', '-', '-', '1100730156', 'LUNAWAT & ASSOCIATES', 'GT', 'Super Redistribution Wholesaler', 'Pune', 'MAHARASHTRA', '-', '736472', 'BHARAT MEDICAL STORES', '1671', 'Tejas Vilas More', '', 'USR', '-', 'Sub Redistribution Wholesaler', '-', '-', '-', '-', '-', '236', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', 'Shyamsudar', '-', '-', '-', '412301', 'Sasvad (M Cl"
31,-,West,-,-,-,1100730148,AASHAN VENTURES,GT,Super Redistribution Wholesaler,AHMEDNAGAR,MAHARASHTRA,-,736474,PRATIK AGENCY,1670,Rehan Abdulaaziz Sayyed,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,241,-,-,-,-,-,-,-,-,-,-,,Barabazar,-,-,-,414604,Kukana,AHMEDNAGAR,UTTAR PRADESH,19.435378,75.069843,-,9421587508,-,-,-,-,100000,365,credit,mobile,-,-,0,0.00,21517172000150,-,45145,7540,Rehan Abdulaaziz Sayyed,45748,-,1,45741,45741,NULL
32,-,West,-,-,-,1100730156,LUNAWAT & ASSOCIATES,GT,Super Redistribution Wholesaler,Pune,MAHARASHTRA,-,736517,Sunderlal Enterprises,1671,Tejas Vilas More,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,236,-,-,-,-,-,-,-,-,-,-,,"7A, 54 THIRUVALLUVAR NAGAR MADHURANTHAGAM",-,-,-,412202,Uruli Kanchan,Pune,WEST BENGAL,18.493588,74.134713,-,9422345025,-,-,-,-,10000000,365,credit,web,-,-,0,0.00,11519036000561,-,45145,6826,Gsk Asia Pvt. Ltd.,45748,-,1,45798,45798,NULL
"33, '-', 'East', '-', '-', '-', '1100738686', 'AASHIRWAD ENTERPRISES', 'GT', 'Hybrid Redistribution Wholesaler', 'Ranchi', 'JHARKHAND', '-', '736567', 'NAMAN TRADERS(SUP"
NP
34,-,West,-,-,-,1100730148,AASHAN VENTURES,GT,Super Redistribution Wholesaler,AHMEDNAGAR,MAHARASHTRA,-,736572,GANDHI AGENCIES,1670,Rehan Abdulaaziz Sayyed,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,241,-,-,-,-,-,-,-,-,-,-,,140 KOVALAM ROAD nMAMALLAPURAM TAMILNADU n-603104,-,-,-,414302,Parner,AHMEDNAGAR,WEST BENGAL,19.001310,74.439190,-,9850171706,-,-,-,-,100000,365,credit,mobile,-,-,0,0.00,11514032000375,-,45146,4643,Rehan Abdulaaziz Sayyed,45748,-,1,45794,45794,NULL
"35, '-', 'East', '-', '-', '-', '1100738686', 'AASHAN VENTURES', 'GT', 'Hybrid Redistribution Wholesaler', 'Ranchi', 'JHARKHAND', '-', '736594', 'TARUN STORE (SUP"
36,-,East,-,-,-,1100730016,SK ENTERPRISE,GT,Hybrid Redistribution Wholesaler,Dinajpur,WEST BENGAL,-,736612,GHOSH VARITIES,1897,RAJ KUMAR KARMAKAR,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,215,-,-,-,-,-,-,-,-,-,-,19AHHPG4474C1ZF,NO 90 ROAD STREET MANAMPATHY AGARAM VILLEGE KANCHIPURAM,-,-,-,733126,Balurghat,Balurghat,WEST BENGAL,25.280535,89.004257,-,9932685159,-,-,-,-,9999999999.99999,365,credit,web,-,-,0,0.00,,-,45146,7510,SK ENETRPRISE,45748,-,1,45788,45788,NULL
"37, '-', 'West', '-', '-', '-', '1100730156', 'LUNAWAT & ASSOCIATES', 'GT', 'Super Redistribution Wholesaler', 'Pune', 'MAHARASHTRA', '-', '736616', 'ARIHANT DISTRIBUTORS', '1671', 'Tejas Vilas More', '', 'USR', '-', 'Sub Redistribution Wholesaler', '-', '-', '-', '-', '-', '236', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '27AKRPB3385Q1ZD', 'NO 15 SOUTH MADA STREET THIRUKALUKKUNDRAM CHENGALPET', '-', '-', '-', '413801', 'Daund (M Cl"
38,-,North,-,-,-,1100740615,JAIN TRADERS,,Hybrid Redistribution Wholesaler,Kota,RAJASTHAN,-,736623,SHREE SANJEEVANI MEDICALS,6338,NARESH KUMAR GADRI,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,22466,-,-,-,-,-,-,-,-,-,-,,"38B SUNSHINE AVENUE PHASE 2 THANDALAM THIRUPORUR, CHENGALPET DISTRICT",-,-,-,325218,ATRU,Kota,MADHYA PRADESH,24.872938,76.678661,-,919414650232,-,-,-,-,888888888,805,credit,web,-,-,0,0.00,,-,45146,7001,B.P.AGENCIES,45748,-,1,45793,45793,NULL
39,-,West,-,-,-,1100730156,LUNAWAT & ASSOCIATES,GT,Super Redistribution Wholesaler,Pune,MAHARASHTRA,-,736666,SANJIVANI MEDICALS & GENRAL STORES,1671,Tejas Vilas More,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,236,-,-,-,-,-,-,-,-,-,-,27AAEPZ9526E1Z9,"ACADEMY OF MARTIME EDUCATIONAL AND TRAINING FIRST FLOOR, SHOP NO 3 FROM 2 ND STREET ECR KANATHUR REDDY KUPPAM CHENGALPET",-,-,-,413115,Malegaon Bk,Rajgurunagar,BIHAR,18.131913,74.511367,-,9423584285,-,-,-,-,10000000,365,credit,web,-,-,0,0.00,21521185000126,-,45146,5309,Lunawat And Associates,45748,-,1,45796,45796,NULL
"40, '-', 'East', '-', '-', '-', '1100738686', 'AASHIRWAD ENTERPRISES', 'GT', 'Hybrid Redistribution Wholesaler', 'Ranchi', 'JHARKHAND', '-', '736682', 'KEWRA TRADERS(SUP"
"41, '-', 'North', '-', '-', '-', '1100730337', 'SHIV AGENCIES HMO', 'GT', 'Hybrid Redistribution Wholesaler', 'Hanumangarh', 'RAJASTHAN', '-', '736702', 'DINESH AGENCIES', '6168', 'Tarun Kumar', '', 'USR', '-', 'Sub Redistribution Wholesaler', '-', '-', '-', '-', '-', '279', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '08AKSPP0314N1ZP', 'PHASA","MAU n', '-', '-', '-', '335523', 'Nohar (M"
42,-,North,-,-,-,1100738612,HANUMANPRASAD ANUJKUMAR,GT,Hybrid Redistribution Wholesaler,Churu,RAJASTHAN,-,736725,Balaji Sales Agency,6670,Bajrang Lal,,USR,-,Pharma Sub Redistribution Wholesaler,-,-,-,-,-,14093,-,-,-,-,-,-,-,-,-,-,08DAFPM1360H1ZS,"PIDWAL,MAU n",-,-,-,331403,SARDARSHER,Bikaner,BIHAR,28.437386,74.480909,-,7568697098,-,-,-,-,999999999,805,credit,web,-,-,0,0.00,,-,45146,6322,Rajasthan Agencies,45748,-,1,45794,45794,NULL
43,-,North,-,-,-,1100738612,HANUMANPRASAD ANUJKUMAR,GT,Hybrid Redistribution Wholesaler,Churu,RAJASTHAN,-,736766,Shree Jee Agencies,6670,Bajrang Lal,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,14093,-,-,-,-,-,-,-,-,-,-,08ACWPC8809R1ZJ,"MARYADPUR,MAU n",-,-,-,331022,RATANGARH,Bikaner,BIHAR,28.083707,74.618746,-,9413590961,-,-,-,-,999999999,805,credit,web,-,-,0,0.00,,-,45146,7866,Nand Lal,45748,-,1,45679,45679,NULL
44,-,North,-,-,-,1100738612,HANUMANPRASAD ANUJKUMAR,GT,Hybrid Redistribution Wholesaler,Churu,RAJASTHAN,-,736799,Shri Balaji Medical Store,6670,Bajrang Lal,,USR,-,Pharma Sub Redistribution Wholesaler,-,-,-,-,-,14093,-,-,-,-,-,-,-,-,-,-,08AGNPB1750B1ZW,"MOHAMMADABAD GOHANA, MAU n",-,-,-,334001,SUJANGARH,Bikaner,WEST BENGAL,27.700973,74.468871,-,9828608970,-,-,-,-,999999999,805,credit,web,-,-,0,0.00,,-,45146,2443,Rajasthan Agencies,45748,-,1,45783,45783,NULL
45,-,North,-,-,-,1100738612,HANUMANPRASAD ANUJKUMAR,GT,Hybrid Redistribution Wholesaler,Churu,RAJASTHAN,-,736804,White Pharma,6670,Bajrang Lal,,USR,-,Pharma Sub Redistribution Wholesaler,-,-,-,-,-,14093,-,-,-,-,-,-,-,-,-,-,08ABUPL2555N1ZV,"GHAIGHAT SIWAN TOLA,BALLIA n",-,-,-,331023,SADULPUR,Bikaner,UTTAR PRADESH,28.636314,75.388144,-,919772171840,-,-,-,-,999999999,805,credit,web,-,-,0,0.00,,-,45146,7677,Rajasthan Agencies,45748,-,1,45786,45786,NULL
46,-,North,-,-,-,1100738863,SOUVENIR Nx,GT,Hybrid Redistribution Wholesaler,Bikaner,RAJASTHAN,-,736816,N P Store,7418,Rohit Pareek,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,15856,-,-,-,-,-,-,-,-,-,-,,"HALOL ROAD,  nKANJARI",-,-,-,334001,DUNGARHGARH,Bikaner,WEST BENGAL,28.097247,74.008170,-,919829380800,-,-,-,-,999999999,805,credit,web,-,-,0,0.00,,-,45146,7510,Rajasthan Agencies,45748,-,1,45798,45798,NULL
"47, '-', 'North', '-', '-', '-', '1100730337', 'SHIV AGENCIES HMO', 'GT', 'Hybrid Redistribution Wholesaler', 'Hanumangarh', 'RAJASTHAN', '-', '736836', 'AGGARWAL AGENCIES', '6168', 'Tarun Kumar', '', 'USR', '-', 'Sub Redistribution Wholesaler', '-', '-', '-', '-', '-', '279', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '08AALFA2973K1Z2', 'KEB ROAD SANGAMESHWAR COMPLEX MANNEKHELLI', '-', '-', '-', '335803', 'Pilibanga (M"
48,-,North,-,-,-,1100730337,SHIV AGENCIES HMO,GT,Hybrid Redistribution Wholesaler,Hanumangarh,RAJASTHAN,-,736840,SINGLA GENRAL STORE,6168,Tarun Kumar,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,279,-,-,-,-,-,-,-,-,-,-,08ALXPS1817R1ZX,Sursand,-,-,-,335041,PADAMPUR,Hanumangarh,BIHAR,29.703344,73.632488,-,919414432213,-,-,-,-,888888888,805,credit,web,-,-,0,0.00,,-,45146,7140,SHIV AGENCIES,45748,-,1,45777,45777,NULL
49,-,North,-,-,-,1100730337,SHIV AGENCIES HMO,GT,Hybrid Redistribution Wholesaler,Hanumangarh,RAJASTHAN,-,736870,GOYAL TRADING COMPANY,1953,Ganesh Purohit,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,279,-,-,-,-,-,-,-,-,-,-,,"17/9/144, Amman sannathi Street  sivagurunathapuram Surandai",-,-,-,335513,GHARSANA,Hanumangarh,WEST BENGAL,29.022341,73.073671,-,919460335666,-,-,-,-,888888888,805,credit,web,-,-,0,0.00,,-,45146,7677,SHIV AGENCIES,45748,-,1,45796,45796,NULL
"50, '-', 'East', '-', '-', '-', '1100729974', 'GOURI SANKAR AGENCY', 'GT', 'Hybrid Redistribution Wholesaler', 'COOCH BEHAR', 'WEST BENGAL', '-', '736881', 'RAM KANAI TRADERS', '2022', 'SUMAN GUHA MAJUMDAR', '', 'USR', '-', 'Sub Redistribution Wholesaler', '-', '-', '-', '-', '-', '192', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '19CDHPS0679F1Z4', 'AHIWARA', '-', '-', '-', '736135', 'Dinhata (M"
51,-,East,-,-,-,1100729974,GOURI SANKAR AGENCY,GT,Hybrid Redistribution Wholesaler,COOCH BEHAR,WEST BENGAL,-,736896,NANDI TRADERS,1244,KOUSHIK CHAKRABORTY,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,192,-,-,-,-,-,-,-,-,-,-,19ALLPN2508A1ZC,"Gobrasara,Dinhata",-,-,-,736204,PALASHBARI,Coochbehar,BIHAR,26.498759,89.304583,-,7076903015,-,-,-,-,9999999999.99999,356,credit,web,-,-,0,0.00,,-,45146,7413,GOURI SANKAR AGENCY,45748,-,1,45547,45792,NULL
52,-,East,-,-,-,1100729974,GOURI SANKAR AGENCY,GT,Hybrid Redistribution Wholesaler,COOCH BEHAR,WEST BENGAL,-,736901,MANIK SAHA [GOSAIHAT],1244,KOUSHIK CHAKRABORTY,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,192,-,-,-,-,-,-,-,-,-,-,19BMMPS0445L1ZG,NONGSTOIN,-,-,-,736172,Sitalkuchi,Sitalkuchi,MADHYA PRADESH,12.924210,77.673756,-,9002668385,-,-,-,-,9999999999.99999,356,credit,web,-,-,0,0.00,,-,45146,7408,GOURI SANKAR AGENCY,45748,-,1,45541,45786,NULL
53,-,East,-,-,-,1100729974,GOURI SANKAR AGENCY,GT,Hybrid Redistribution Wholesaler,COOCH BEHAR,WEST BENGAL,-,736903,MB AGENCY,2022,SUMAN GUHA MAJUMDAR,,USR,-,Sub Redistribution Wholesaler,-,-,-,-,-,192,-,-,-,-,-,-,-,-,-,-,19BVFPM6925D1ZF,MAIRANG,-,-,-,736169,Coochbehar,Coochbehar,WEST BENGAL,26.119148,89.579493,-,9734004450,-,-,-,-,9999999999.99999,356,credit,web,-,-,0,0.00,,-,45146,,GOURI SANKAR AGENCY,45748,-,1,45509,45775,NULL
